SEA Analysis Data Result,,,,,,,,,,,,,,,,,,,,,,,,,,,
File:,20 11 2015 15-55-34.accdb,,,,,,,,,,,,,,,,,,,,,,,,,,
Method:,90C,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample:,5000 rpm energy with dummy area,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Mass (mg):,7,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,
n/nm,Solvent Name,Unit,En. (Stz Max),En. (Stz Com),En. (Pol Max),En. (Pol Com),Interpolated Retention Volume (Max),Interpolated Retention Volume (Com),Column Temperature [Kelvin],,,,,,,,,,,,,,,,,,
0.1,OCTANE,dG (kJ/Mol),,,,,311.3508492,782.5342359,363.1508922,,,,,,,,,,,,,,,,,,
0.1,HEPTANE,dG (kJ/Mol),,,,,108.7541354,238.6014757,363.1505228,,,,,,,,,,,,,,,,,,
0.1,HEXANE,dG (kJ/Mol),,,,,41.45468606,71.84359602,363.1518535,,,,,,,,,,,,,,,,,,
0.1,DICHLOROMETHANE,dG (kJ/Mol),19.61900093,18.94885342,19.98118062,19.36472235,1286.128231,1179.482311,363.152851,,,,,,,,,,,,,,,,,,
0.1,ETHYL ACETATE,dG (kJ/Mol),8.353677867,10.80212276,6.895720924,9.126409877,65.05271344,187.3324306,363.1556359,,,,,,,,,,,,,,,,,,
0.1,"1,4-DIOXANE",dG (kJ/Mol),7.630293014,9.091321574,9.716798324,11.48885427,145.9424331,354.3090985,363.1522475,,,,,,,,,,,,,,,,,,
0.13,NONANE,dG (kJ/Mol),,,,,795.5884311,2242.466133,363.1521169,,,,,,,,,,,,,,,,,,
0.13,OCTANE,dG (kJ/Mol),,,,,258.5970122,636.8025261,363.1508922,,,,,,,,,,,,,,,,,,
0.13,HEPTANE,dG (kJ/Mol),,,,,97.1795588,213.8129345,363.1505228,,,,,,,,,,,,,,,,,,
0.13,HEXANE,dG (kJ/Mol),,,,,36.91606749,65.87997739,363.1518535,,,,,,,,,,,,,,,,,,
0.13,DICHLOROMETHANE,dG (kJ/Mol),20.30016173,19.45844985,20.64307732,19.84915733,1703.360858,1553.363149,363.152851,,,,,,,,,,,,,,,,,,
0.13,ETHYL ACETATE,dG (kJ/Mol),7.584935067,9.554019834,6.197154507,7.96233306,51.3908277,131.8586665,363.1556359,,,,,,,,,,,,,,,,,,
0.13,"1,4-DIOXANE",dG (kJ/Mol),7.339069279,7.823343468,9.322400033,10.09419943,128.3037093,232.8014934,363.1522475,,,,,,,,,,,,,,,,,,
0.15,NONANE,dG (kJ/Mol),,,,,724.8674849,1939.358805,363.1521169,,,,,,,,,,,,,,,,,,
0.15,OCTANE,dG (kJ/Mol),,,,,245.7831647,534.1199232,363.1508922,,,,,,,,,,,,,,,,,,
0.15,HEPTANE,dG (kJ/Mol),,,,,90.99441556,198.2714806,363.1505228,,,,,,,,,,,,,,,,,,
0.15,HEXANE,dG (kJ/Mol),,,,,34.22675566,63.18813208,363.1518535,,,,,,,,,,,,,,,,,,
0.15,DICHLOROMETHANE,dG (kJ/Mol),20.9206366,19.71281147,21.26511465,20.08173879,1981.515942,1802.617041,363.152851,,,,,,,,,,,,,,,,,,
0.15,ETHYL ACETATE,dG (kJ/Mol),7.476657109,9.215920797,6.096354861,7.673469926,46.83343692,122.2591828,363.1556359,,,,,,,,,,,,,,,,,,
0.15,"1,4-DIOXANE",dG (kJ/Mol),7.377895681,7.678673832,9.355649275,9.864758028,122.2875251,221.2112901,363.1522475,,,,,,,,,,,,,,,,,,
0.2,NONANE,dG (kJ/Mol),,,,,717.4647973,1646.990853,363.1521169,,,,,,,,,,,,,,,,,,
0.2,OCTANE,dG (kJ/Mol),,,,,245.9407891,462.9670111,363.1508922,,,,,,,,,,,,,,,,,,
0.2,HEPTANE,dG (kJ/Mol),,,,,84.0653857,157.4696179,363.1505228,,,,,,,,,,,,,,,,,,
0.2,HEXANE,dG (kJ/Mol),,,,,30.30484829,57.40052594,363.1518535,,,,,,,,,,,,,,,,,,
0.2,DICHLOROMETHANE,dG (kJ/Mol),22.52053231,20.92748538,22.88435601,21.30234158,2676.903653,2425.75177,363.152851,,,,,,,,,,,,,,,,,,
0.2,ETHYL ACETATE,dG (kJ/Mol),7.639864484,9.107583783,6.207729041,7.589030388,40.45309901,105.2489568,363.1556359,,,,,,,,,,,,,,,,,,
0.2,"1,4-DIOXANE",dG (kJ/Mol),7.731617585,7.761215938,9.793245003,9.930880419,117.1060929,200.4418767,363.1522475,,,,,,,,,,,,,,,,,,
0.25,NONANE,dG (kJ/Mol),,,,,790.9256074,1471.199503,363.1521169,,,,,,,,,,,,,,,,,,
0.25,OCTANE,dG (kJ/Mol),,,,,267.8386466,425.7632217,363.1508922,,,,,,,,,,,,,,,,,,
0.25,HEPTANE,dG (kJ/Mol),,,,,82.19193108,143.5155981,363.1505228,,,,,,,,,,,,,,,,,,
0.25,HEXANE,dG (kJ/Mol),,,,,27.02608665,52.84449212,363.1518535,,,,,,,,,,,,,,,,,,
0.25,DICHLOROMETHANE,dG (kJ/Mol),24.14463419,21.79047682,24.5388934,22.16476604,3372.291364,3048.886499,363.152851,,,,,,,,,,,,,,,,,,
0.25,ETHYL ACETATE,dG (kJ/Mol),8.183499257,8.941693586,6.654631248,7.436078466,37.51633714,93.54158371,363.1556359,,,,,,,,,,,,,,,,,,
0.25,"1,4-DIOXANE",dG (kJ/Mol),8.312544779,7.786801339,10.52220652,9.941916333,118.1979485,188.2693794,363.1522475,,,,,,,,,,,,,,,,,,
0.3,NONANE,dG (kJ/Mol),,,,,875.3979267,1313.41765,363.1521169,,,,,,,,,,,,,,,,,,
0.3,OCTANE,dG (kJ/Mol),,,,,298.5729598,402.9094187,363.1508922,,,,,,,,,,,,,,,,,,
0.3,HEPTANE,dG (kJ/Mol),,,,,87.16686191,135.8918297,363.1505228,,,,,,,,,,,,,,,,,,
0.3,HEXANE,dG (kJ/Mol),,,,,26.45050571,49.01871104,363.1518535,,,,,,,,,,,,,,,,,,
0.3,DICHLOROMETHANE,dG (kJ/Mol),25.06615603,22.42475808,25.47687273,22.7973994,4067.679075,3672.021229,363.152851,,,,,,,,,,,,,,,,,,
0.3,ETHYL ACETATE,dG (kJ/Mol),8.444314283,8.786464562,6.860388863,7.29846051,37.43116637,86.0322917,363.1556359,,,,,,,,,,,,,,,,,,
0.3,"1,4-DIOXANE",dG (kJ/Mol),8.693892611,7.805956744,10.98651427,9.939954637,127.8399391,181.3592213,363.1522475,,,,,,,,,,,,,,,,,,
0.35,NONANE,dG (kJ/Mol),,,,,959.870246,1155.635797,363.1521169,,,,,,,,,,,,,,,,,,
0.35,OCTANE,dG (kJ/Mol),,,,,333.7955826,389.3595589,363.1508922,,,,,,,,,,,,,,,,,,
0.35,HEPTANE,dG (kJ/Mol),,,,,90.00493875,131.2419436,363.1505228,,,,,,,,,,,,,,,,,,
0.35,HEXANE,dG (kJ/Mol),,,,,24.06361357,45.01723224,363.1518535,,,,,,,,,,,,,,,,,,
0.35,DICHLOROMETHANE,dG (kJ/Mol),26.26338088,22.94130948,26.69977715,23.31302929,4763.066786,4295.155958,363.152851,,,,,,,,,,,,,,,,,,
0.35,ETHYL ACETATE,dG (kJ/Mol),8.918459486,8.632864929,7.250933799,7.16512123,36.06042063,79.87181466,363.1556359,,,,,,,,,,,,,,,,,,
0.35,"1,4-DIOXANE",dG (kJ/Mol),9.271114006,7.839083661,11.69073789,9.950247717,135.6147989,176.842118,363.1522475,,,,,,,,,,,,,,,,,,
